Regime,Metric,Pearson,Spearman,RMSE,MedianAbs,P95Abs
Synthetic small,ES,0.9999999999999998,1.0,3.14610806566687e-16,2.498001805406602e-16,5.564992910933596e-16
Synthetic small,NES,0.9999185472204901,0.9996805333703729,0.017840682014775833,0.007195320922901094,0.03422379048644025
Synthetic small,Log10P,0.9969134404430486,0.9939550106540882,0.15359682141595157,0.03598205511434047,0.40095208401682925
Synthetic medium,ES,1.0,0.9999999999999999,3.4008226213718096e-16,2.7755575615628914e-16,6.106226635438361e-16
Synthetic medium,NES,0.9999269307418028,0.9994973093581834,0.01545818506880634,0.00946823497611371,0.026751987161008108
Synthetic medium,Log10P,0.9966059054571039,0.9889700187136078,0.09412678817327128,0.03436655364576548,0.20248314530077244
Synthetic large,ES,1.0,1.0,3.3615542954565103e-16,2.498001805406602e-16,6.106226635438361e-16
Synthetic large,NES,0.9999314865876707,0.9994828954828955,0.014459340121186649,0.010173380886332628,0.028201505946888125
Synthetic large,Log10P,0.991911144951912,0.9859614323496743,0.10718200590448115,0.03014431019080312,0.22125447129603515
Trajectory early,ES,1.0,1.0,3.384031475542663e-16,2.220446049250313e-16,5.551115123125783e-16
Trajectory early,NES,0.9999394736053613,0.9980368468740562,0.013480317536628433,0.008025669235155686,0.026216865768888997
Trajectory early,Log10P,0.9413247850943807,0.9755674220228407,0.3285725806242004,0.06930233891007465,0.8734479021249404
Trajectory middle,ES,1.0,1.0,3.001329280754674e-16,2.220446049250313e-16,5.551115123125783e-16
Trajectory middle,NES,0.9999412401892374,0.9990939293264876,0.01628725225317455,0.010418590191862975,0.03456140995918643
Trajectory middle,Log10P,0.990001772527767,0.9397991455049218,0.20445871435567653,0.07207803540748026,0.3979591356721873
Trajectory late,ES,1.0,1.0,3.077951228276081e-16,2.220446049250313e-16,5.551115123125783e-16
Trajectory late,NES,0.9999493773761134,0.9972817879794625,0.014060490311078503,0.010340971077449468,0.025539453546755284
Trajectory late,Log10P,0.9961820159703259,0.9717502014885725,0.1880029231132945,0.07369312609958281,0.4999248325686305
